sub_id,sub_thai,subdistrict,dis_thai,district,pro_thai,province,lat,lng,name_id,amenity,amenity_cafe,amenity_clinic,amenity_fuel,amenity_hospital,amenity_place_of_worship,amenity_police,amenity_restaurant,amenity_school,amenity_shelter,amenity_toilets,historic,leisure,natural,office,publictransport,residential,shop,shop_convenience,tourism,tourism_attraction,tourism_guest_house,tourism_hotel,poi,size
100307,ลำผักชี,,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,13.797,100.844,Bangkok_24,0.560046933,0,0,0,0,0,0,0.031113718,0,0,0,0,0.311137185,12.47660111,0,0,8.431817708,0,0,0,0,0,0,701,32.14016353
100308,ลำต้อยติ่ง,,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,13.781,100.877,Bangkok_25,2.198599655,0,0,0,0,0,0,0,0,0,0,0,2.700034664,49.56492206,0.154287695,0,1.542876951,0.385719238,0,0,0,0,0,1466,25.92559307
100401,มหาพฤฒาราม,,บางรัก,Bang Rak,กรุงเทพมหานคร,Bangkok,13.734,100.52,Bangkok_26,319.1797954,13.87738241,1.541931379,0,0,0,0,30.83862758,1.541931379,0,1.541931379,4.625794137,77.09656895,274.4637855,81.72236309,16.96124517,44.71600999,218.9542558,7.709656895,69.38691205,0,3.083862758,3.083862758,759,0.648537291
100402,สีลม,,บางรัก,Bang Rak,กรุงเทพมหานคร,Bangkok,13.73,100.525,Bangkok_27,676.8322438,49.33179619,1.315514565,0,0,1.315514565,0.657757283,99.32134967,0.657757283,0.657757283,1.973271848,57.22488358,617.6340883,511.0774086,130.235942,25.65253402,74.98433021,259.8141266,12.49738837,164.4393206,0,1.973271848,16.44393206,4111,1.520317641
100403,สุริยวงศ์,,บางรัก,Bang Rak,กรุงเทพมหานคร,Bangkok,13.724,100.53,Bangkok_28,1098.679796,33.24295903,8.310739758,0,0,3.324295903,0,144.6068718,0,1.662147952,1.662147952,13.29718361,314.1459629,774.5609455,435.4827633,31.58081108,94.74243325,894.235598,31.58081108,265.9436723,1.662147952,0,16.62147952,2506,0.60163116
100404,บางรัก,,บางรัก,Bang Rak,กรุงเทพมหานคร,Bangkok,13.727,100.527,Bangkok_29,1441.120427,26.16559435,0,0,0,0,0,56.35666476,2.012738027,2.012738027,4.025476054,128.8152337,275.7451097,370.343797,231.4648731,30.19107041,10.06369014,505.1972448,10.06369014,205.2992788,4.025476054,2.012738027,6.038214081,1645,0.496835647
100405,สี่พระยา,,บางรัก,Bang Rak,กรุงเทพมหานคร,Bangkok,13.725,100.514,Bangkok_30,872.6350244,10.4663871,1.308298387,0,0,1.308298387,0,58.87342743,0,0,1.308298387,39.24895162,295.6754356,979.9154922,194.9364597,11.77468549,227.6439194,264.2762743,17.00787904,187.0866694,0,0,10.4663871,2426,0.764351626
100502,อนุสาวรีย์,,บางเขน,Bang Khen,กรุงเทพมหานคร,Bangkok,13.868,100.606,Bangkok_31,18.44078809,0.332266452,0.055377742,0.27688871,0.055377742,0.221510968,0.055377742,0.332266452,0.166133226,0.166133226,0.055377742,0.110755484,14.23207969,19.88060938,1.439821292,4.15333065,1.716710002,8.86043872,0.55377742,4.43021936,0,0,0.166133226,1367,18.05779658
100508,ท่าแร้ง,,บางเขน,Bang Khen,กรุงเทพมหานคร,Bangkok,13.866,100.65,Bangkok_32,19.18194668,0.395051534,0.131683845,0.043894615,0.043894615,0.175578459,0,1.36073306,0.08778923,0.131683845,0.043894615,0,9.788499109,19.48920899,6.71587607,0.570629993,9.305658346,14.92416905,0.526735378,2.063046897,0.131683845,0.043894615,0,1940,22.7818379
100601,คลองจั่น,,บางกะปิ,Bang Kapi,กรุงเทพมหานคร,Bangkok,13.786,100.635,Bangkok_33,18.52295438,1.35948289,0.084967681,0.254903042,0.084967681,0,0,1.699353613,0.169935361,0,0,0,12.23534601,31.69294488,2.6339981,4.673222435,22.60140305,10.9608308,1.104579848,0.849676806,0.084967681,0,0.849676806,1293,11.76918085
100608,หัวหมาก,,บางกะปิ,Bang Kapi,กรุงเทพมหานคร,Bangkok,13.756,100.66,Bangkok_34,32.11414386,0.696756573,0,0.063341507,0.126683013,0.063341507,0,1.710220679,0.253366026,0.19002452,0,1.203488626,41.55202834,92.85864871,2.470318758,4.813954503,5.637394089,6.460833675,1.013464106,2.153611225,0.126683013,0.063341507,0.696756573,3067,15.78743629
100701,รองเมือง,,ปทุมวัน,Pathum Wan,กรุงเทพมหานคร,Bangkok,13.744,100.52,Bangkok_35,214.7493126,4.843969458,0,0.807328243,0,0.807328243,0.807328243,16.14656486,0.807328243,0,3.229312972,98.49404565,42.78839688,312.43603,67.00824417,20.99053432,8.880610673,46.82503809,5.651297701,41.98106864,0,1.614656486,4.036641215,1106,1.238653557
100702,วังใหม่,,ปทุมวัน,Pathum Wan,กรุงเทพมหานคร,Bangkok,13.742,100.526,Bangkok_36,1781.842231,38.86568625,2.24225113,0,0,1.494834086,1.494834086,68.01495093,0,0,5.979336346,21.67509425,532.1609348,1316.201413,76.98395545,41.85535442,32.8863499,310.92549,5.979336346,128.5557314,1.494834086,2.989668173,7.474170432,5859,1.337941125
100703,ปทุมวัน,,ปทุมวัน,Pathum Wan,กรุงเทพมหานคร,Bangkok,13.74,100.535,Bangkok_37,402.6263603,31.41056711,1.427753051,0,0,0.951835367,0.951835367,38.54933237,1.427753051,0.951835367,8.09060062,5.711012202,263.182479,1362.552328,23.31996649,43.78442688,5.235094519,205.5964393,5.235094519,53.77869824,2.855506101,0,0.951835367,5166,2.101203705
100704,ลุมพินี,,ปทุมวัน,Pathum Wan,กรุงเทพมหานคร,Bangkok,13.736,100.546,Bangkok_38,202.2011399,12.80507955,0,0.297792548,0.297792548,0.297792548,0.595585095,31.56601006,0.595585095,0.595585095,3.87130312,12.20949446,248.6567773,834.4147187,65.21656795,12.20949446,78.0216475,114.0545458,5.955850954,110.1832427,0.297792548,0,4.169095668,5838,3.358042395
